STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160524,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160525,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160526,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160602,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160603,0.03, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160604,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160605,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160606,1.24, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160607,1.17, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160608,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160614,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160615,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160616,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160617,0.33, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160618,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160619,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160622,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
